6a,7,43,44a
0.7925,3.25,0,0
0.53,3.25,0,0
0.3575,1,0,0
1.1075,1,0,0
1.4975,1,0,0
1.5075,1,0,0
1.6225,0,0,0
1.555,0,0,0
1.645,0,0,0
1.6525,0,0,0
1.635,0,0,0
1.25,0,0,0
1.2575,0,0,0
1.3375,0,0,0
1.815,0.25,0,0
1.3325,0.25,0,0
1.41,0.25,0,0
1.355,0.25,0,0
1.33,0,0,0
0.7175,0,0,0
0.53,0,0,0
1.455,0,0,0
0.34,0,0,0
0.125,0,0,0
0.1275,0,0,0
0.09,0,0,0
0.1225,0,0,0
0.1025,0,0,0
0.095,0,0,0
0.065,0,0,0
0.0525,0,0,0
0.065,0,0,0
0.0775,0,0,0
0.1025,0,0,0
0.065,0.25,0,0
0.09,0.25,0,0
0.14,0.25,0,0
0.925,0.25,0,0
0.97,0,0,0
1.02,0,0,0
1.085,0,0,0
1.1125,0,0,0
1.1,4.5,0,0
1.1075,4.5,0,0
1.175,4.5,0,0
1.495,4.5,0,0
1.165,3.75,0,0
1.175,3.75,0,0
1.2125,3.75,0,0
1.1975,3.75,0,0
1.2075,2.75,0,0
1.1775,2.75,0,0
1.1825,2.75,0,0
1.2,2.75,0,0
1.385,2,0,0
1.5175,2,0,0
1.015,2,0,0
0.16,2,0,0
0.185,0.25,0,0
0.9925,0.25,0,0
0.7775,0.25,0,0
0.7275,0.25,0,0
0.4575,0.25,0,0
0.5,0.25,0,0
1.055,0.25,0,0
0.67,0.25,0,0
0.5075,0.25,0,0
0.3625,0.25,0,0
0.595,0.25,0,0
0.0225,0.25,0,0
0.015,0.25,0,0
0.05,0.25,0,0
0.0375,0.25,0,0
0.0175,0.25,0,0
0.0675,0.25,0,0
0.1375,0.25,0,0
0.045,0.25,0,0
0.695,0.25,0,0
0.7975,0.25,0,0
0.255,0.25,0,0
0.2025,0.25,0,0
0.6275,0.25,0,0
0.6075,0,0,0
0.83,0,0,0
1.5425,0,0,0
1.545,0,0,0
1.5825,5,0,0
1.2025,5,0,0
0.28,5,0,0
0.21,5,0,0
0.16,3.75,0,0
0.2375,3.75,0,0
0.19,3.75,0,0
0.2475,3.75,0,0
0.2525,2.25,0,0
0.835,2.25,0,0
1.1425,2.25,0,0
1.4975,2.25,0,0
1.2825,0.75,0,0
1.765,0.75,0,0
1.7425,0.75,0,0
1.4075,0.75,0,0
1.45,0.25,0,0
1.5225,0.25,0,0
1.305,0.25,0,0
1.245,0.25,0,0
0.995,0,0,0
1.095,0,0,0
1.0775,0,0,0
1.235,0,0,0
1.19,0,0,0
1.235,0,0,0
1.3575,0,0,0
0.3725,0,0,0
0.1725,0,0,0
0.175,0,0,0
0.165,0,0,0
0.16,0,0,0
0.2375,0.25,0,0
0.5775,0.25,0,0
0.135,0.25,0,0
0.09,0.25,0,0
0.1025,0,0,0
0.08,0,0,0
0.0925,0,0,0
0.0525,0,0,0
0.09,0,0,0
0.0925,0,0,0
0.0775,0,0,0
0.0825,0,0,0
0.065,0,0,0
0.705,0,0,0
0.8875,0,0,0
0.985,0,0,0
0.99,0.25,0,0
1.4625,0.25,0,0
1.035,0.25,0,0
1.04,0.25,0,0
1.0475,4,0,0
1.065,4,0,0
1.1,4,0,0
1.1075,4,0,0
1.0925,3.5,0,0
1.095,3.5,0,0
1.1275,3.5,0,0
1.0975,3.5,0,0
1.1275,3,0,0
1.1325,3,0,0
1.1175,3,0,0
1.11,3,0,0
1.1175,1.75,0,0
1.435,1.75,0,0
1.265,1.75,0,0
0.105,1.75,0,0
0.0825,0.25,0,0
0.0575,0.25,0,0
0.0525,0.25,0,0
0.0675,0.25,0,0
0.0125,0.25,0,0
0.0325,0.25,0,0
0.1525,0.25,0,0
0.7325,0.25,0,0
0.905,0.25,0,0
0.0475,0.25,0,0
0.0375,0.25,0,0
0.0175,0.25,0,0
0.035,0,0,0
0.3975,0,0,0
1.045,0,0,0
0.4175,0,0,0
0.07,0.25,0,0
0.1125,0.25,0,0
0.415,0.25,0,0
0.0575,0.25,0,0
0.0325,0.25,0,0
0.62,0.25,0,0
1.1275,0.25,0,0
1.47,0.25,0,0
1.4475,0.25,0,0
1.5425,0.25,0,0
0.92,0.25,0,0
0.755,0.25,0,0
0.72,3.75,0,0
0.8175,3.75,0,0
1.35,3.75,0,0
1.1775,3.75,0,0
1.21,2.75,0,0
1.3,2.75,0,0
1.3025,2.75,0,0
1.41,2.75,0,0
1.2875,2.25,0,0
1.2925,2.25,0,0
1.32,2.25,0,0
1.45,2.25,0,0
1.5075,0.75,0,0
1.535,0.75,0,0
1.3925,0.75,0,0
1.4525,0.75,0,0
2.2175,0.25,0,0
0.9675,0.25,0,0
0.445,0.25,0,0
0.4525,0.25,0,0
0.3625,0,0,0
0.375,0,0,0
0.3325,0,0,0
0.3225,0,0,0
0.35,0,0,0
0.3425,0,0,0
0.3175,0,0,0
0.295,0,0,0
0.2525,0.25,0,0
0.1925,0.25,0,0
0.1775,0.25,0,0
0.16,0.25,0,0
0.1875,0,0,0
1.31,0,0,0
1.095,0,0,0
1.065,0,0,0
0.73,0,0,0
1.035,0,0,0
1.0475,0,0,0
1.1,0,0,0
1.0675,0,0,0
1.0975,0,0,0
1.0875,0,0,0
0.7775,0,0,0
1.11,0,0,0
1.1475,0,0,0
1.155,0,0,0
1.1575,0,0,0
1.1975,0.25,0,0
1.1825,0.25,0,0
0.99,0.25,0,0
1.385,0.25,0,0
0.715,3,0,0
0.0725,3,0,0
0.065,3,0,0
0.915,3,0,0
1.1175,2.5,0,0
1.1325,2.5,0,0
1.1975,2.5,0,0
1.045,2.5,0,0
0.885,2.25,0,0
0.9975,2.25,0,0
1.1875,2.25,0,0
1.2125,2.25,0,0
1.4925,1.75,0,0
1.4325,1.75,0,0
1.3525,1.75,0,0
0.5325,1.75,0,0
0.0925,0.25,0,0
0.0725,0.25,0,0
0.09,0.25,0,0
0.0825,0.25,0,0
0.1225,0.25,0,0
0.1,0.25,1,0
0.1075,0.25,1.75,0
0.1125,0.25,2.625,0
0.4,0,2,0
0.025,0,1.75,0
0.78,0,2,0
1.195,0,2.875,0
0.81,0.25,2.125,0
0.01,0.25,1.75,0
0.0175,0.25,1.5,0
0.01,0.25,1.5,0
0.01,0.25,0,0
0.0075,0.25,0,0
0.01,0.25,0,0
0.025,0.25,0,0
0.1,0.25,0,0
0.0225,0.25,0,0
0.0325,0.25,0,0
0.015,0.25,0,0
0.0125,0.25,0,0
0.065,0.25,0,0
1.89,0.25,0,0
2.005,0.25,0,0
1.8525,4.75,0,0
1.43,4.75,0,0
1.96,4.75,0,0
1.1225,4.75,0,0
1.3925,4,0,0
1.29,4,0,0
1.265,4,0,0
1.26,4,0,0
1.3125,2.25,0,0
1.295,2.25,0,0
1.4625,2.25,0,0
1.75,2.25,0,0
1.5875,1,0,0
1.705,1,0,0
1.475,1,0,0
1.9075,1,0,0
0.9625,0,0,0
0.3825,0,0,0
0.465,0,0,0
0.3375,0,0,0
0.4425,0,0,0
1.32,0,0,0
1.4225,0,0,0
0.97,0,0,0
1.3275,0.25,0,0
1.335,0.25,0,0
1.4075,0.25,0,0
0.985,0.25,0,0
0.255,0,0,0
0.2275,0,0,0
0.185,0,0,0
0.535,0,0,0
1.3425,0,0,0
1.2975,0,0,0
0.535,0,0,0
0.0975,0,0,0
0.0825,0,0,0
0.1225,0,0,0
0.0975,0,0,0
0.1025,0,0,0
0.07,0.25,0,0
0.075,0.25,0,0
0.59,0.25,0,0
0.9675,0.25,0,0
0.7825,0,0,0
1.0325,0,0,0
1.06,0,0,0
1.0725,0,0,0
1.0925,0,0,0
1.07,0,0,0
1.085,0,0,0
1.0675,0,0,0
0.7825,3,0,0
1.015,3,0,0
1.01,3,0,0
0.5625,3,0,0
1.0925,2.5,0,0
1.305,2.5,0,0
1.305,2.5,0,0
1.1025,2.5,0,0
0.92,2,0,0
0.93,2,0,0
1.11,2,0,0
1.145,2,0,0
1.1375,2,0,0
1.1325,2,0.625,0
1.14,2,2.375,0
1.125,2,4.625,0
0.7325,0.25,0.25,0
1.1725,0.25,0,0
1.2375,0.25,0,0
0.135,0.25,0,0
0.1475,0.25,0,0
0.6025,0.25,0,0
1.345,0.25,0,0
1.3625,0.25,0,0
1.8075,0.25,0,0
1.3525,0.25,0,0
0.9425,0.25,0,0
1.86,0.25,0,0
1.6975,0,0,0
2.1,0,0,0
1.97,0,0,0
2.0625,0,0,0
0.8925,0.25,0,0
0.98,0.25,0,0
0.5325,0.25,0,0
0.5625,0.25,0,0
0.5,0.25,0,0
0.6875,0.25,0,0
0.52,0.25,0,0
0.245,0.25,0,0
0.2425,0,0,0
0.235,0,0,0
0.8375,0,0,0
1.335,0,0,0
1.2475,4.5,0,0
0.4125,4.5,0,0
0.6575,4.5,0,0
1.1675,4.5,0,0
1.2675,3.75,0,0
1.235,3.75,0,0
1.0725,3.75,0,0
1.37,3.75,0,0
1.2725,2,0,0
1.2725,2,0,0
1.29,2,0,0
1.5225,2,0,0
1.655,0.75,0,0
1.2275,0.75,0,0
1.0775,0.75,0,0
1.455,0.75,0,0
1.3775,0.25,0,0
1.735,0.25,0,0
1.97,0.25,0,0
1.585,0.25,0,0
1.4,0,0,0
0.92,0,0,0
1.3325,0,0,0
1.34,0,0,0
1.72,0,0,0
1.415,0,0,0
1.4325,0,0,0
1.41,0,0,0
0.9875,0,0,0
1.3625,0,0,0
0.3175,0,0,0
0.2225,0,0,0
0.255,0,0,0
1.1275,0,0,0
0.3225,0,0,0
0.13,0,0,0
0.1125,0.25,0,0
0.08,0.25,0,0
0.0875,0.25,0,0
0.4625,0.25,0,0
0.7,0,0,0
0.09,0,0,0
0.0925,0,0,0
0.08,0,0,0
0.0775,0,0,0
0.075,0,0,0
0.425,0,0,0
1.095,0,0,0
1.135,0,0,0
1.1575,0,0,0
1.165,0,0,0
1.19,0,0,0
0.5575,3.25,0,0
1.09,3.25,0,0
1.1775,3.25,0,0
1.23,3.25,0,0
1.2875,2.75,0,0
1.65,2.75,0,0
1.25,2.75,0,0
0.9525,2.75,0,0
0.8,2,0,0
1.305,2,0,0
1.3775,2,0,0
1.395,2,0,0
1.3725,2.25,0,0
1.3525,2.25,0,0
1.33,2.25,0,0
0.67,2.25,0,0
1.245,0,0,0
1.475,0,0,0
1.585,0,0,0
0.1,0,0,0
0.12,0,0,0
0.57,0,0,0
0.4675,0,0,0
0.4975,0,0,0
1.0625,0.25,0,0
0.905,0.25,0,0
1.0925,0.25,0,0
1.3825,0.25,0,0
0.8675,0,0,0
0.9275,0,0,0
1.69,0,0,0
0.43,0,0,0
1.1575,0,0,0
1.605,0,0,0
1.6875,0,0,0
1.735,0,0,0
1.7025,0.25,0,0
1.6125,0.25,0,0
1.545,0.25,0,0
0.91,0.25,0,0
0.6275,0,0,0
0.1925,0,0,0
1.4925,0,0,0
1.275,0,0,0
0.695,4,0,0
0.705,4,0,0
1.495,4,0,0
1.7075,4,0,0
1.5525,2.75,0,0
1.595,2.75,0,0
1.31,2.75,0,0
1.085,2.75,0,0
2.17,1.5,0,0
1.295,1.5,0,0
1.685,1.5,0,0
1.62,1.5,0,0
1.635,0.75,0,0
1.74,0.75,0,0
1.0675,0.75,0,0
1.51,0.75,0,0
2.165,0.25,0,0
2.4425,0.25,0,0
1.9425,0.25,0,0
1.5925,0.25,0,0
1.3725,0,0,0
1.1825,0,0,0
0.59,0,0,0
1.4275,0,0,0
1.04,0,0,0
1.345,0,0,0
1.505,0,0,0
1.5725,0,0,0
2.1125,0,0,0
1.8125,0,0,0
1.82,0,0,0
1.3425,0,0,0
0.95,0,0,0
1.68,0,0,0
1.75,0,0,0
1.795,0,0,0
1.77,0.25,0,0
1.825,0.25,0,0
1.8225,0.25,0,0
0.84,0.25,0,0
1.45,0,0,0
1.76,0,0,0
1.7875,0,0,0
1.8125,0,0,0
1.8525,0,0,0
0.8675,0,0,0
0.07,0,0,0
0.1675,0,0,0
0.5625,0,0,0
0.06,0,0,0
0.06,0,0,0
0.4,0,0,0
1.2775,3.5,0,0
0.68,3.5,0,0
1.3225,3.5,0,0
1.585,3.5,0,0
1.6275,2.75,0,0
1.67,2.75,0,0
1.715,2.75,0,0
1.7575,2.75,0,0
1.0975,3,0,0
1.2825,3,0,0
1.695,3,0,0
1.735,3,0,0
1.765,2.25,0,0
1.815,2.25,0,0
2.0725,2.25,0,0
1.815,2.25,0,0
0.9975,0,0,0
1.7,0,0,0
2.015,0,0,0
1.885,0,0,0
1.95,0,0,0
2.355,0,0,0
2.52,0,0,0
1.515,0,0,0
1.8975,0.25,0,0
2.775,0.25,0,0
2.075,0.25,0,0
1.775,0.25,0,0
1.8625,0,0,0
1.8975,0,0,0
1.2675,0,0,0
1.405,0,0,0
2.095,0,0,0
2.0475,0,0,0
2.075,0,0,0
2.16,0,0,0
2.42,0,0,0
1.735,0,0,0
0.85,0,0,0
2.0675,0,0,0
1.985,0.25,0,0
1.89,0.25,0,0
2.4,0.25,0,0
2.8275,0.25,0,0
2.4025,3.25,0,0
1.17,3.25,0,0
1.1825,3.25,0,0
0.1725,3.25,0,0
0.2525,2.5,0,0
1.605,2.5,0,0
1.9575,2.5,0,0
1.965,2.5,0,0
1.995,2,0,0
2.0525,2,0,0
1.8325,2,0,0
1.33,2,0,0
0.58,1,0,0
0.305,1,0,0
1.1825,1,0,0
3.0675,1,0,0
2.505,0,0,0
2.42,0,0,0
2.4475,0,0,0
2.51,0,0,0
1.45,0.25,0,0
1.265,0.25,0,0
0.42,0.25,0,0
0.51,0.25,0,0
1.6575,0,0,0
1.96,0,0,0
1.9625,0,0,0
1.9675,0,0,0
1.97,0,0,0
1.6575,0,0,0
1.4525,0,0,0
0.4025,0,0,0
0.16,0,0,0
0.185,0,0,0
1.225,0,0,0
1.71,0,0,0
1.685,0.25,0,0
1.735,0.25,0,0
1.725,0.25,0,0
1.61,0.25,0,0
0.8275,0,0,0
0.5075,0,0,0
0.0925,0,0,0
0.55,0,0,0
0.4875,0,0,0
0.345,0,0,0
0.52,0,0,0
1.4225,0,0,0
1.555,0,0,0
1.625,0,0,0
1.6475,0,0,0
1.11,0,0,0
1.095,4,0,0
0.1525,4,0,0
0.075,4,0,0
0.765,4,0,0
0.1525,3.75,0,0
0.105,3.75,0,0
1.005,3.75,0,0
3.34,3.75,0,0
3.825,2,0,0
3.5175,2,0,0
3.6475,2,0,0
1.505,2,0,0
1.2425,2,0,0
0.1425,2,0,0
0.255,2,0,0
1.01,2,0,0
0.16,0.25,0,0
0.8025,0.25,0,0
1.36,0.25,0,0
0.13,0.25,0,0
0.2575,0.25,0,0
1.8625,0.25,0,0
3.5975,0.25,0,0
3.8,0.25,0,0
2.535,0.25,0,0
2.525,0.25,0,0
3.505,0.25,0,0
1.78,0.25,0,0
0.975,0.25,0,0
0.2875,0.25,0,0
0.4775,0.25,0,0
0.855,0.25,0,0
0.1875,0.5,0,0
0.63,0.5,0,0
0.5575,0.5,0,0
1.2975,0.5,0,0
2.0175,0,0,0
1.64,0,0,0
1.635,0,0,0
1.6225,0,0,0
1.6475,0.25,0,0
1.4175,0.25,0,0
1.5,0.25,0,0
2.1125,0.25,0,0
2.19,3.75,0,0
1.8325,3.75,0,0
1.8825,3.75,0,0
2.035,3.75,0,0
2.235,3.5,0,0
1.0025,3.5,0,0
2.1,3.5,0,0
2.125,3.5,0,0
2.3875,2.75,0,0
1.86,2.75,0,0
1.9375,2.75,0,0
1.9375,2.75,0,0
1.885,2.25,0,0
1.075,2.25,0,0
0.84,2.25,0,0
0.32,2.25,0,0
0.8175,0.25,0,0
1.72,0.25,0,0
1.9575,0.25,0,0
2.2575,0.25,0,0
1.84,0,0,0
1.8275,0,0,0
1.8025,0,0,0
1.01,0,0,0
1.6475,0,0,0
1.8225,0,0,0
1.7525,0,0,0
1.8,0,0,0
1.8,0.25,0,0
1.8275,0.25,0,0
1.1225,0.25,0,0
1.4325,0.25,0,0
3.5475,0,0,0
3.6875,0,0,0
3.7975,0,0,0
3.3275,0,0,0
1.875,0,0,0
1.27,0,0,0
1.13,0,0,0
0.1325,0,0,0
0.1125,0.25,0,0
1.4025,0.25,0,0
3.6125,0.25,0,0
3.55,0.25,0,0
3.58,0,0,0
3.615,0,0,0
3.67,0,0,0
0.9575,0,0,0
2.66,0,0,0
3.795,0,0,0
3.7125,0,0,0
2.41,0,0,0
3.14,5,0,0
1.8425,5,0,0
1.795,5,0,0
1.4725,5,0,0
0.1,3.5,0,0
0.105,3.5,0,0
0.9125,3.5,0,0
0.0825,3.5,0,0
0.13,2.25,0,0
2.09,2.25,0,0
3.4975,2.25,0,0
3.9275,2.25,0,0
3.625,2.25,0,0
3.4375,2.25,0,0
0.82,2.25,0,0
2.9825,2.25,0,0
3.655,0.25,0,0
3.7375,0.25,0,0
2.94,0.25,0,0
1.99,0.25,0,0
3.3975,0.25,0,0
1.8325,0.25,0,0
2.4675,0.25,0,0
3.075,0.25,0,0
1.7375,0.25,0,0
1.98,0.25,0,0
1.795,0.25,0,0
1.845,0.25,0,0
1.3125,0.25,0,0
1.5975,0.25,0,0
2.7125,0.25,0,0
2.3325,0.25,0,0
1.915,0,0,0
2.025,0,0,0
2.255,0,0,0
1.6925,0,0,0
1.64,0.25,0,0
2.425,0.25,0,0
2.3825,0.25,0,0
2.6125,0.25,0,0
2.035,0,0,0
2.155,0,0,0
2.4,0,0,0
1.5475,0,0,0
2.5675,3.5,0,0
2.235,3.5,0,0
2.2125,3.5,0,0
2.7425,3.5,0,0
2.7125,2.5,0,0
2.4,2.5,0,0
1.255,2.5,0,0
1.825,2.5,0,0
2.15,2,0,0
2.0925,2,0,0
2.0875,2,0,0
1.955,2,0,0
1.9325,1,0,0
1.5825,1,0,0
1.65,1,0,0
2.02,1,0,0
2.12,0.25,0,0
2.3725,0.25,0,0
2.245,0.25,0,0
2.2075,0.25,0,0
1.565,0,0,0
1.3675,0,0,0
1.8175,0,0,0
1.92,0,0,0
1.935,0,0,0
1.9275,0,0,0
1.9225,0,0,0
2.0675,0,0,0
1.135,0,0,0
1.325,0,0,0
1.3575,0,0,0
1.4725,0,0,0
1.8025,0,0,0
1.435,0,0,0
1.54,0,0,0
0.7125,0,0,0
0.745,0.25,0,0
1.465,0.25,0,0
1.505,0.25,0,0
1.51,0.25,0,0
1.52,0,0,0
1.55,0,0,0
1.5525,0,0,0
0.72,0,0,0
1.3625,0,0,0
1.5675,0,0,0
2.0025,0,0,0
1.59,0,0,0
1.8225,0,0,0
1.6,0,0,0
0.8725,0,0,0
0.995,0,0,0
0.0975,4.25,0,0
0.115,4.25,0,0
1.09,4.25,0,0
1.515,4.25,0,0
1.545,3.75,0,0
1.54,3.75,0,0
1.5675,3.75,0,0
1.3575,3.75,0,0
0.8175,2.25,0,0
1.895,2.25,0,0
1.5675,2.25,0,0
1.58,2.25,0,0
1.5825,2,0,0
1.635,2,0,0
1.66,2,0,0
0.905,2,0,0
0.8,0.25,0,0
0.15,0.25,0,0
0.5375,0.25,0,0
1.02,0.25,0,0
0.115,0.25,0,0
0.39,0.25,0,0
1.5225,0.25,0,0
1.6225,0.25,0,0
2.095,0,0,0
1.7775,0,0,0
1.655,0,0,0
1.3475,0,0,0
1.15,0.25,0,0
0.415,0.25,0,0
0.615,0.25,0,0
0.945,0.25,0,0
1.735,0.25,0,0
2.145,0.25,0,0
1.9575,0.25,0,0
2.015,0.25,0,0
1.8625,0.25,0,0
1.0475,0.25,0,0
1.38,0.25,0,0
1.745,0.25,0,0
1.78,0,0,0
1.8425,0,0,0
2.7525,0,0,0
2.3525,0,0,0
1.905,3.75,0,0
1.2575,3.75,0,0
1.705,3.75,0,0
1.86,3.75,0,0
0.455,2.75,0,0
1.95,2.75,0,0
2.1675,2.75,0,0
2.0175,2.75,0,0
2.17,2.25,0,0
1.5775,2.25,0,0
1.94,2.25,0,0
1.8375,2.25,0,0
1.8075,0.75,0,0
1.815,0.75,0,0
1.8275,0.75,0,0
1.855,0.75,0,0
1.67,0,0,0
2.09,0,0,0
2.0075,0,0,0
2.14,0,0,0
1.8125,0,0,0
1.96,0,0,0
2.0175,0,0,0
1.4125,0,0,0
2.07,0,0,0
1.8375,0,0,0
1.8575,0,0,0
1.87,0,0,0
1.8775,0.25,0,0
1.875,0.25,0,0
1.845,0.25,0,0
1.1775,0.25,0,0
1.6375,0,0,0
1.7,0,0,0
1.6975,0,0,0
1.94,0,0,0
1.71,0,0,0
1.775,0,0,0
2.0225,0,0,0
1.295,0,0,0
1.175,0,0,0
1.6425,0,0,0
1.6525,0,0,0
1.6575,0,0,0
1.695,0.25,0,0
1.7,0.25,0,0
1.69,0.25,0,0
1.695,0.25,0,0
0.895,0,0,0
1.4525,0,0,0
1.6375,0,0,0
1.96,0,0,0
1.7225,4,0,0
1.645,4,0,0
1.6625,4,0,0
1.0425,4,0,0
1.22,3.75,0,0
1.625,3.75,0,0
1.63,3.75,0,0
1.62,3.75,0,0
1.645,2.25,0,0
1.65,2.25,0,0
1.4375,2.25,0,0
0.8825,2.25,0,0
1.5825,2,0,0
1.6325,2,0,0
2.06,2,0,0
1.7425,2,0.625,0
1.7075,0,2.25,0
1.7275,0,1.625,0
1.045,0,1.125,0
1.29,0,0,0
1.5225,0.25,0,0
1.8525,0.25,0,0
2.06,0.25,0,0
2.16,0.25,0,0
2.225,0,0,0
1.495,0,0,0
1.8425,0,0,0
1.6475,0,0,0
1.5625,0.25,0,0
1.705,0.25,0,0
1.9125,0.25,0,0
2.085,0.25,0,0
1.56,0,0,0
1.3325,0,0,0
1.8475,0,0,0
1.63,0,0,0
1.835,0.25,0,0
2.1825,0.25,0,0
1.835,0.25,0,0
2.23,0.25,0,0
0.9625,0.25,0,0
1.39,0.25,0,0
2.0225,0.25,0,0
2.1,0.25,0,0
2.355,3.75,0,0
2.255,3.75,0,0
2.555,3.75,0,0
1.7,3.75,0,0
1.855,2.5,0,0
2.1,2.5,0,0
2.29,2.5,0,0
1.4725,2.5,0,0
0.4675,2,0,0
0.5925,2,0,0
1.48,2,0,0
1.0825,2,0,0
1.66,0.75,0,0
1.705,0.75,0,0
1.8,0.75,0,0
1.775,0.75,0,0
2.3675,0,0,0
2.0375,0,0,0
1.2225,0,0,0
1.795,0,0,0
1.95,0.25,0,0
1.7475,0.25,0,0
1.805,0.25,0,0
1.55,0.25,0,0
1.6175,0,0,0
1.185,0,0,0
1.365,0,0,0
1.71,0,0,0
1.7325,0,0,0
1.7725,0,0,0
1.8225,0,0,0
2.2075,0,0,0
1.495,0,0,0
1.02,0,0,0
1.51,0,0,0
1.44,0,0,0
1.52,0,0,0
1.535,0,0,0
1.56,0,0,0
1.555,0,0,0
0.745,0.25,0,0
1.3525,0.25,0,0
1.5325,0.25,0,0
1.6,0.25,0,0
1.6525,0,0,0
1.645,0,0,0
1.6175,0,0,0
0.97,0,0,0
1.18,0,0,0
1.6375,0,0,0
1.635,0,0,0
1.71,0,0,0
1.74,4.25,0,0
1.7425,4.25,0,0
1.4575,4.25,0,0
0.82,4.25,0,0
1.6125,3.75,0,0
1.8075,3.75,0,0
2.0225,3.75,0,0
1.735,3.75,0,0
1.7375,2,0,0
1.74,2,0,0
0.845,2,0,0
1.4725,2,0,0
1.74,2,0,0
1.79,2,0,0
1.785,2,0,0
1.795,2,0,0
1.805,0,0,0
1.105,0,0,0
1.23,0,0,0
1.7475,0,0,0
1.5325,0.25,0,0
1.53,0.25,0,0
1.41,0.25,0,0
1.7175,0.25,0,0
1.8075,0.25,0,0
0.505,0.25,0,0
0.875,0.25,0,0
1.125,0.25,0,0
0.91,0.25,0,0
0.98,0.25,0,0
1.01,0.25,0,0
0.99,0.25,0,0
0.3475,0,0,0
0.8875,0,0,0
1.615,0,0,0
1.6,0,0,0
0.855,0.25,0,0
0.23,0.25,0,0
0.03,0.25,0,0
0.02,0.25,0,0
0.7725,0,0,0
1.3775,0,0,0
1.975,0,0,0
